table: 24E10B40
	helicopter_snipers_drills | table: 53C62B20
				_id | 100188
			102251 | table: 542F37A0
				__name | ElementToggle
				_values | table: 53C60220
					enabled | true
					on_executed | table: 53C60260 (empty)
					elements | table: 53C60240
						1 | 101712
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-825, -2525, 6150)
					execute_on_startup | false
					toggle | off
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542F37C0 (empty)
				_editor_name | logic_toggle_067enable_prison_van_sliding_area
				_element_group | ElementToggle
				_id | 102251
			100220 | table: 54162040
				__name | ElementSpecialObjective
				_values | table: 53BB2600
					so_action | none
					on_executed | table: 53BB2620 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | precise
					execute_on_restart | false
					use_instigator | true
					search_position | Vector3(-450, -4175, 5749.71)
					search_distance | 0
					patrol_path | event_spooc_1_2
					scan | true
					SO_access | 16348
					rotation | Rotation(-180, 0, -0)
					pose | crouch
					repeatable | false
					enabled | true
					interval | -1
					debug | false
					access_flag_version | 1
					path_stance | cbt
					path_haste | walk
					is_navigation_link | false
					base_delay | 0
					align_rotation | true
					align_position | true
					interrupt_on | none
					position | Vector3(-575, -4200, 5750)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54162060 (empty)
				_editor_name | point_special_objective_003
				_events | table: 541620C0 (empty)
				_id | 100220
			100252 | table: 540F0580
				__name | ElementCounter
				_values | table: 53B33CC0
					enabled | true
					on_executed | table: 53B33CE0
						1 | table: 53B33D00
							delay | 0
							id | 101527
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					position | Vector3(-4050, -8050, 5825)
					execute_on_startup | false
					counter_target | 2
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F05A0 (empty)
				_editor_name | logic_counter_002
				_element_group | ElementCounter
				_id | 100252
			100268 | table: 540F0F00
				__name | ElementPlayEffect
				_values | table: 53B504E0
					enabled | true
					base_time | 0
					debug | false
					effect | effects/particles/dest/bridge_heli_smoke
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					random_time | 0
					position | Vector3(-1800, -11300, 5800.59)
					execute_on_startup | false
					screen_space | false
					on_executed | table: 53B50500 (empty)
					max_amount | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F0F20 (empty)
				_editor_name | env_effect_play_006
				_element_group | ElementPlayEffect
				_id | 100268
			102331 | table: 541D17E0
				__name | ElementLogicChance
				_values | table: 53C61980
					enabled | true
					on_executed | table: 53C619A0
						1 | table: 53C619C0
							delay | 0
							id | 102332
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(44.9999, -0, -0)
					position | Vector3(-2000, -31250, 6138.75)
					execute_on_startup | false
					chance | 50
				_chance | 50
				_id | 102331
				_triggers | table: 541D1860 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541D1800 (empty)
				_editor_name | logic_chance_016
				_element_group | ElementLogicChance
			100332 | table: 540F1540
				__name | ElementSpecialObjective
				_values | table: 53B50C20
					so_action | civ_face_scan
					on_executed | table: 53B50C40 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-1100, -17925, 5789.18)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 262144
					rotation | Rotation(0, 0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | -1
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | run
					is_navigation_link | false
					base_delay | 0
					align_rotation | true
					align_position | true
					interrupt_on | none
					position | Vector3(-3325, -22325, 7126)
					base_chance | 1
					execute_on_startup | false
					attitude | none
					ai_group | escort_guy_1
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F1560 (empty)
				_editor_name | point_special_objective_012
				_events | table: 540F15C0 (empty)
				_id | 100332
			100348 | table: 540F1BA0
				__name | ElementScenarioEvent
				_values | table: 53B51180
					enabled | true
					on_executed | table: 53B511A0 (empty)
					debug | false
					chance_inc | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-180, 0, -0)
					base_chance | 1
					amount | 1
					execute_on_startup | false
					trigger_times | 0
					task | any
					position | Vector3(-2400, -4425, 5803.26)
				_element_group | ElementScenarioEvent
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F1BC0 (empty)
				_editor_name | func_scenario_event_002
				_network_execute | true
				_id | 100348
			100396 | table: 540F2860
				__name | ElementSpecialObjective
				_values | table: 53B51BE0
					so_action | so_hos_jumpdown
					on_executed | table: 53B51C00 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-2372.26, -22121.6, 5760.18)
					search_distance | 0
					patrol_path | none
					scan | false
					SO_access | 262140
					rotation | Rotation(-90, 0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | 5
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
					position | Vector3(-2550, -21800, 6226)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F2880 (empty)
				_editor_name | point_special_objective_019
				_events | table: 540F28E0 (empty)
				_id | 100396
			100412 | table: 540F3500
				__name | ElementObjective
				_values | table: 53B52380
					enabled | true
					on_executed | table: 53B523A0
						1 | table: 53B523C0
							delay | 0
							id | 101999
					objective | bridge_jump
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(600, -20975, 5925)
					execute_on_startup | false
					sub_objective | none
					state | activate
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F3520 (empty)
				_editor_name | func_objective_009
				_element_group | ElementObjective
				_id | 100412
			100428 | table: 54130020
				__name | ElementSpawnEnemyDummy
				_values | table: 53B52960
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-2450, -27050, 5726.2)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-90, 0, -0)
					spawn_action | move_climbover_std
					on_executed | table: 53B52980 (empty)
					amount | 3
					execute_on_startup | false
					accessibility | acrobatic
					interval | 12
					enemy | units/characters/enemies/swat/swat
				_enemy_name | Idstring(@ID6a1ac63b209e379a@) --units/characters/enemies/swat/swat
				_id | 100428
				_units | table: 541300C0 (empty)
				_events | table: 541300E0 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54130040 (empty)
				_editor_name | ai_spawn_enemy_081
				_element_group | ElementSpawnEnemyDummy
			100508 | table: 54131480
				__name | ElementSpawnEnemyDummy
				_values | table: 53B53660
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-950, -37500, 5533)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					spawn_action | so_crh_to_std
					on_executed | table: 53B53680 (empty)
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/swat/swat
				_enemy_name | Idstring(@ID6a1ac63b209e379a@) --units/characters/enemies/swat/swat
				_id | 100508
				_units | table: 54131520 (empty)
				_events | table: 54131540 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541314A0 (empty)
				_editor_name | ai_spawn_enemy_094
				_element_group | ElementSpawnEnemyDummy
			100716 | table: 54253D00
				__name | ElementUnitSequenceTrigger
				_values | table: 53C83AC0
					enabled | true
					on_executed | table: 53C83AE0
						1 | table: 53C83B00
							delay | 0
							id | 101844
					debug | false
					sequence_list | table: 53C83B20
						1 | table: 53C83B40
							sequence | kill_light_bulb
							unit_id | 100941
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-4050, -23850, 6500)
					execute_on_startup | false
				_has_active_callback | true
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54253D20 (empty)
				_editor_name | func_sequence_trigger_021
				_element_group | ElementUnitSequenceTrigger
				_id | 100716
			100812 | table: 54163E40
				__name | ElementSpawnCivilian
				_values | table: 53BB3A80
					enabled | true
					on_executed | table: 53BB3AA0 (empty)
					debug | false
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(180, 0, -0)
					position | Vector3(-1246, -10162, 5786.66)
					execute_on_startup | false
					state | revived_by_cpr
					force_pickup | none
					enemy | units/characters/civilians/casual_male_1/casual_male_1
				_enemy_name | Idstring(@ID217a4c7a04482d51@) --units/characters/civilians/casual_male_1/casual_male_1
				_id | 100812
				_units | table: 54163EE0 (empty)
